seed,model,nominal_confidence,empirical_coverage,mean_interval_width,q_hat,test_RMSE
0,Standard_MLP,0.8,0.9225,0.3310103433747173,0.16550517168735868,0.09064029897467621
0,Standard_MLP,0.9,0.9675,0.3978237192805554,0.1989118596402777,0.09064029897467621
0,Standard_MLP,0.95,0.99,0.49944508154396744,0.24972254077198364,0.09064029897467621
0,PGNN,0.8,0.875,0.2549837936747408,0.1274918968373704,0.08480861563326045
0,PGNN,0.9,0.92,0.2956012825529992,0.1478006412764996,0.08480861563326045
0,PGNN,0.95,0.9325,0.30292369873856506,0.15146184936928253,0.08480861563326045
1,Standard_MLP,0.8,0.87,0.284304876214323,0.1421524381071615,0.10102853038299003
1,Standard_MLP,0.9,0.9575,0.38572702283079857,0.19286351141539926,0.10102853038299003
1,Standard_MLP,0.95,0.975,0.46001704069737476,0.23000852034868735,0.10102853038299003
1,PGNN,0.8,0.8175,0.25975157193542264,0.12987578596771132,0.09228354180805493
1,PGNN,0.9,0.895,0.30360842216715533,0.15180421108357767,0.09228354180805493
1,PGNN,0.95,0.97,0.3785495258159872,0.1892747629079936,0.09228354180805493
2,Standard_MLP,0.8,0.855,0.34462980148231837,0.17231490074115918,0.11505253216866831
2,Standard_MLP,0.9,0.9875,0.5816395127180768,0.29081975635903834,0.11505253216866831
2,Standard_MLP,0.95,1.0,0.6663556014299473,0.3331778007149737,0.11505253216866831
2,PGNN,0.8,0.87,0.26515475902451335,0.13257737951225668,0.09221144184967786
2,PGNN,0.9,0.935,0.32057362295050185,0.16028681147525092,0.09221144184967786
2,PGNN,0.95,0.9375,0.3346356516985405,0.16731782584927024,0.09221144184967786
3,Standard_MLP,0.8,0.915,0.3905755242038385,0.19528776210191923,0.11181981273307642
3,Standard_MLP,0.9,0.945,0.4733005562647154,0.23665027813235773,0.11181981273307642
3,Standard_MLP,0.95,0.9525,0.504271666871319,0.2521358334356595,0.11181981273307642
3,PGNN,0.8,0.855,0.25160178235535113,0.12580089117767557,0.08924841419280498
3,PGNN,0.9,0.9525,0.3898171926102516,0.1949085963051258,0.08924841419280498
3,PGNN,0.95,0.9775,0.4332444462347471,0.21662222311737356,0.08924841419280498
4,Standard_MLP,0.8,0.83,0.24566115465895955,0.12283057732947977,0.09913326491554758
4,Standard_MLP,0.9,0.9025,0.30541091822158783,0.15270545911079392,0.09913326491554758
4,Standard_MLP,0.95,0.9875,0.5427071446349195,0.2713535723174598,0.09913326491554758
4,PGNN,0.8,0.8575,0.23728932920466228,0.11864466460233114,0.08682383826793845
4,PGNN,0.9,0.9675,0.3993499789766157,0.19967498948830786,0.08682383826793845
4,PGNN,0.95,0.995,0.5311592004147387,0.26557960020736937,0.08682383826793845
5,Standard_MLP,0.8,0.835,0.25526620870005656,0.12763310435002828,0.1006316171764596
5,Standard_MLP,0.9,0.94,0.40364119508598373,0.20182059754299186,0.1006316171764596
5,Standard_MLP,0.95,1.0,0.9537954533858078,0.47689772669290376,0.1006316171764596
5,PGNN,0.8,0.8325,0.22676686961002268,0.11338343480501134,0.08681904902416004
5,PGNN,0.9,0.9325,0.3175000280406861,0.15875001402034306,0.08681904902416004
5,PGNN,0.95,0.9625,0.3726034131431457,0.18630170657157286,0.08681904902416004
6,Standard_MLP,0.8,0.795,0.2531023374555246,0.1265511687277623,0.10489740322929236
6,Standard_MLP,0.9,0.9425,0.3858936852960553,0.19294684264802764,0.10489740322929236
6,Standard_MLP,0.95,0.9775,0.5492252554864382,0.27461262774321915,0.10489740322929236
6,PGNN,0.8,0.8375,0.2465748029050492,0.12328740145252459,0.09129132532120779
6,PGNN,0.9,0.8825,0.27795150897038967,0.13897575448519484,0.09129132532120779
6,PGNN,0.95,0.95,0.37689944306508627,0.18844972153254314,0.09129132532120779
7,Standard_MLP,0.8,0.795,0.2710563681807283,0.13552818409036416,0.11402121534320545
7,Standard_MLP,0.9,0.975,0.5237665420030669,0.2618832710015335,0.11402121534320545
7,Standard_MLP,0.95,0.9875,0.6692501032857155,0.3346250516428577,0.11402121534320545
7,PGNN,0.8,0.82,0.22315085435879567,0.11157542717939783,0.09189463550159764
7,PGNN,0.9,0.8725,0.2739616280404249,0.13698081402021245,0.09189463550159764
7,PGNN,0.95,0.9525,0.37778653337459644,0.18889326668729822,0.09189463550159764
8,Standard_MLP,0.8,0.8525,0.3095270941067705,0.15476354705338524,0.10766847264483564
8,Standard_MLP,0.9,0.9725,0.4777383990790532,0.23886919953952668,0.10766847264483564
8,Standard_MLP,0.95,0.9975,0.7690000837062959,0.384500041853148,0.10766847264483564
8,PGNN,0.8,0.82,0.23026448524495285,0.11513224262247646,0.08722430258114908
8,PGNN,0.9,0.9475,0.3507168894066118,0.17535844470330586,0.08722430258114908
8,PGNN,0.95,0.97,0.3889183277564239,0.19445916387821194,0.08722430258114908
9,Standard_MLP,0.8,0.92,0.3193620501514922,0.1596810250757461,0.09465985845009284
9,Standard_MLP,0.9,0.9775,0.466924616870531,0.2334623084352655,0.09465985845009284
9,Standard_MLP,0.95,0.9925,0.6190898129238199,0.30954490646191,0.09465985845009284
9,PGNN,0.8,0.85,0.24322555183144967,0.12161277591572484,0.08640480673664963
9,PGNN,0.9,0.9475,0.3474794394025827,0.17373971970129132,0.08640480673664963
9,PGNN,0.95,0.9975,0.6197798445773689,0.3098899222886844,0.08640480673664963
10,Standard_MLP,0.8,0.8375,0.26764239243813853,0.1338211962190693,0.09879854234424869
10,Standard_MLP,0.9,0.95,0.38790283513608853,0.19395141756804424,0.09879854234424869
10,Standard_MLP,0.95,1.0,1.1676819459705505,0.5838409729852754,0.09879854234424869
10,PGNN,0.8,0.835,0.23153305809537847,0.11576652904768925,0.08802939048490944
10,PGNN,0.9,0.9675,0.3904364778616936,0.19521823893084678,0.08802939048490944
10,PGNN,0.95,0.995,0.6633588401136288,0.33167942005681433,0.08802939048490944
11,Standard_MLP,0.8,0.78,0.24315691340889423,0.12157845670444711,0.10479872331229287
11,Standard_MLP,0.9,0.88,0.31545534941290176,0.15772767470645088,0.10479872331229287
11,Standard_MLP,0.95,0.9925,0.6440711959345226,0.32203559796726133,0.10479872331229287
11,PGNN,0.8,0.7925,0.21826025704706103,0.10913012852353055,0.08864747130151003
11,PGNN,0.9,0.91,0.30454132138933865,0.15227066069466932,0.08864747130151003
11,PGNN,0.95,0.9875,0.4792453710061458,0.23962268550307297,0.08864747130151003
12,Standard_MLP,0.8,0.79,0.25542025872883434,0.12771012936441717,0.11378397978926191
12,Standard_MLP,0.9,0.9425,0.4228348778462432,0.2114174389231216,0.11378397978926191
12,Standard_MLP,0.95,1.0,1.0048234377119416,0.5024117188559709,0.11378397978926191
12,PGNN,0.8,0.77,0.20219223878982936,0.1010961193949147,0.08854327046179855
12,PGNN,0.9,0.915,0.30105029230944647,0.15052514615472323,0.08854327046179855
12,PGNN,0.95,0.965,0.4007097601834726,0.2003548800917363,0.08854327046179855
13,Standard_MLP,0.8,0.85,0.2783408088752837,0.13917040443764184,0.1045908271071164
13,Standard_MLP,0.9,0.9475,0.4220523994001142,0.2110261997000571,0.1045908271071164
13,Standard_MLP,0.95,0.99,0.6882782240775953,0.34413911203879766,0.1045908271071164
13,PGNN,0.8,0.915,0.32800333904838963,0.16400166952419482,0.0956377471324546
13,PGNN,0.9,0.9575,0.37560037944617575,0.18780018972308787,0.0956377471324546
13,PGNN,0.95,0.9925,0.5741677864382322,0.2870838932191161,0.0956377471324546
14,Standard_MLP,0.8,0.8625,0.31689732056896736,0.15844866028448368,0.11408001105838905
14,Standard_MLP,0.9,0.8925,0.354960110397466,0.177480055198733,0.11408001105838905
14,Standard_MLP,0.95,0.9425,0.48077459227178015,0.24038729613589005,0.11408001105838905
14,PGNN,0.8,0.8625,0.2577198846678108,0.1288599423339054,0.0894442015131868
14,PGNN,0.9,0.9075,0.3185972421002292,0.1592986210501146,0.0894442015131868
14,PGNN,0.95,0.9925,0.5169683879809962,0.25848419399049816,0.0894442015131868
