N_train,seed,lambda,MAE,RMSE,physics_adherence_MAE
15,0,0.0,0.18318899182090043,0.2683930693764895,0.19788503697680887
15,0,0.02,0.08179368451970614,0.10078785457700105,0.04851491427974158
15,0,0.05,0.08194958595458343,0.09879413718050854,0.032704028341301
15,0,0.1,0.08015112350225681,0.09634105958383858,0.026865813401244384
15,0,0.2,0.07981265456334143,0.09527399865036679,0.026156789030328146
15,0,0.35,0.08205021079772498,0.09678999198815091,0.02337345444996388
15,0,0.5,0.0806506830361414,0.09538572873828008,0.019086231517247965
15,0,0.75,0.08064453229406848,0.09527428244563567,0.01850759270242514
15,0,1.0,0.08198139742508559,0.09681663538188723,0.020259911092536352
15,0,1.5,0.08107770097710115,0.09524630310656321,0.018823739057957964
15,0,2.0,0.08191528194826034,0.09543831037916513,0.01960664685524085
15,1,0.0,0.12881742214596556,0.16354203012283972,0.13156215286539796
15,1,0.02,0.08120177051111988,0.1031007424279628,0.05503063768508957
15,1,0.05,0.07923356624135504,0.09668080498049289,0.03947587265954366
15,1,0.1,0.08036912766771163,0.0962120967147564,0.03301649699692409
15,1,0.2,0.08271368492746095,0.09802496217585059,0.027990859882645273
15,1,0.35,0.08354781259393876,0.0988541559788233,0.0267054347129801
15,1,0.5,0.08239125957163125,0.09742978759987844,0.02544698271141204
15,1,0.75,0.08121186978255981,0.09591283817233391,0.025109385041524948
15,1,1.0,0.08221303076409636,0.09725052011580552,0.023065964280579117
15,1,1.5,0.08201457076476391,0.0968487718310845,0.02058267717011267
15,1,2.0,0.08180377302434604,0.09642385233433262,0.018866640611157295
15,2,0.0,0.15831347297217735,0.21828996431021258,0.1659551380895406
15,2,0.02,0.07962813937550471,0.10122671089101559,0.05175440689923609
15,2,0.05,0.08148748841456102,0.10153156780390551,0.042638879211023654
15,2,0.1,0.08051706326172806,0.09778061928897026,0.03536174584684186
15,2,0.2,0.08036472749317682,0.09675557700885482,0.028369510870883893
15,2,0.35,0.07962814309017113,0.09465876498589638,0.02253811294147627
15,2,0.5,0.08074227244713672,0.09510278765845795,0.02095149866435631
15,2,0.75,0.08121935707017357,0.09541554648999166,0.020602715048916805
15,2,1.0,0.079020541049052,0.09395103818510431,0.02204420645138837
15,2,1.5,0.08051206457835029,0.09482225632180433,0.017611763607793807
15,2,2.0,0.08024922643840277,0.09460123018315746,0.01569174448945906
15,3,0.0,0.11179871701090453,0.15294066723525854,0.11688442925104095
15,3,0.02,0.07307890987769251,0.09439556014396441,0.05453255671244534
15,3,0.05,0.0713841497000881,0.08940190653557956,0.042262858074512265
15,3,0.1,0.07260705753155465,0.0893099514837791,0.03465873493868752
15,3,0.2,0.0791079256230562,0.09657130002819941,0.03165818913377828
