N_train,seed,model,lambda_selected,MAE,RMSE,R2
8,0,PLS,,0.19967770871880458,0.2737348568933228,-0.2980901994952123
8,0,Standard_MLP,,0.15916118503699783,0.212088357925214,0.22074728530378385
8,0,PGNN,0.02,0.08017585316289809,0.09869392095261906,0.8312571146252402
8,1,PLS,,0.22915756005108423,0.33035795734830153,-0.8906633645073312
8,1,Standard_MLP,,0.24035339814476347,0.3321463419564222,-0.91118889020455
8,1,PGNN,0.0,0.24035339814476347,0.3321463419564222,-0.91118889020455
8,2,PLS,,0.1374761666253984,0.16635494175161364,0.5205800770134488
8,2,Standard_MLP,,0.1537034089609598,0.1880898414332986,0.3871201468229243
8,2,PGNN,0.2,0.08226822896226971,0.09693670518746825,0.8372124551661366
8,3,PLS,,0.14001693173507465,0.17251631312109544,0.4844093879979089
8,3,Standard_MLP,,0.1556557970376967,0.1914990712389826,0.3647012385506937
8,3,PGNN,2.0,0.08219394326651905,0.09763549472011507,0.8348570162570017
8,4,PLS,,0.4295757598148334,0.5217991261693481,-3.7168423330372686
8,4,Standard_MLP,,0.22278776387910854,0.27384659790199334,-0.2991501997832009
8,4,PGNN,0.05,0.08074473395880867,0.09852756510864118,0.831825492224761
8,5,PLS,,0.2425728658969436,0.29505331713946537,-0.5081539217788258
8,5,Standard_MLP,,0.166886286896638,0.2226179264060855,0.14145130788105742
8,5,PGNN,2.0,0.0799627156627085,0.09473894808217498,0.8445102442841569
8,6,PLS,,0.24882222478815122,0.30335950069978174,-0.5942626304788416
8,6,Standard_MLP,,0.24014941803683032,0.28604540166952513,-0.41747238224690886
8,6,PGNN,2.0,0.08079402107487339,0.09549963874836209,0.8420032614328393
8,7,PLS,,0.1793584307208347,0.22993391773286043,0.08409433988861281
8,7,Standard_MLP,,0.17688706371006496,0.22864862626663063,0.09430523483228603
8,7,PGNN,2.0,0.08241291972167467,0.09657632730153297,0.8384205833520019
8,8,PLS,,0.1513196271144938,0.20012335744150866,0.30619052674877745
8,8,Standard_MLP,,0.13207309251898353,0.17065402461300067,0.4954807581293805
8,8,PGNN,0.2,0.08039366547401128,0.09685179649957651,0.8374975076300383
8,9,PLS,,0.14013184230668516,0.20341691585003807,0.28316567099392376
8,9,Standard_MLP,,0.10111153771189117,0.12877430494119477,0.712721520460813
8,9,PGNN,0.2,0.07838021807301823,0.09235242548296704,0.8522453094947852
8,10,PLS,,0.18782245868307298,0.2349986113242162,0.04330113999714924
8,10,Standard_MLP,,0.15039380397943028,0.18435706154007003,0.4112048564158567
8,10,PGNN,0.05,0.08342585194679279,0.10305721797955046,0.8160069181868369
8,11,PLS,,0.1402785755009014,0.20664978088738614,0.26019959810019133
8,11,Standard_MLP,,0.13366153308926304,0.17346998880763898,0.47869322926686275
8,11,PGNN,0.02,0.07694284351921422,0.0969452624034099,0.8371837133256568
15,0,PLS,,0.12816561982792865,0.17025483100671565,0.49783833859415993
15,0,Standard_MLP,,0.22258231765277653,0.29759940563417886,-0.5342946958158596
15,0,PGNN,0.1,0.0792516380327492,0.09663699530080012,0.83821751539178
15,1,PLS,,0.17665877577544703,0.24674510371954508,-0.05473109949171029
15,1,Standard_MLP,,0.16561282775491304,0.23276913323013293,0.06136781138904057
15,1,PGNN,0.1,0.07629497675129254,0.09132266899054192,0.855521955128238
15,2,PLS,,0.14625211010634462,0.1845710449792365,0.4098372328651434
15,2,Standard_MLP,,0.12325500804083038,0.1589798197381614,0.5621466618430249
15,2,PGNN,0.5,0.08220240531517863,0.09849372734597368,0.8319409862368581
15,3,PLS,,0.16009040614607342,0.20026881611613204,0.305181576224128
15,3,Standard_MLP,,0.14513777352652554,0.1766606110392247,0.45934014803948475
15,3,PGNN,1.0,0.08550904243502448,0.10109359288915656,0.8229516318900011
15,4,PLS,,0.15844217796814766,0.2192167770248695,0.16748466617943936
15,4,Standard_MLP,,0.12858605588930316,0.16250858385825845,0.5424934920737632
15,4,PGNN,0.1,0.07509152526650771,0.09145807600467262,0.8550931931467413
15,5,PLS,,0.13861698072792153,0.1802847675149492,0.43692955400429434
15,5,Standard_MLP,,0.13616182149151443,0.17918876079129992,0.4437549019735282
15,5,PGNN,0.1,0.07838130922206477,0.0965806200268277,0.838406218931991
15,6,PLS,,0.13706316507349564,0.19153214470661092,0.36448177693850303
15,6,Standard_MLP,,0.14453677043865482,0.2010782107161672,0.2995539529464234
15,6,PGNN,1.5,0.08345236837594962,0.0981341928745248,0.8331656881217783
15,7,PLS,,0.10568801551473982,0.15149834582094476,0.6023871179472735
15,7,Standard_MLP,,0.11847972477853407,0.17395339630074066,0.47578373778462624
15,7,PGNN,0.02,0.07438431194273287,0.09448344126971288,0.8453478115019003
15,8,PLS,,0.12540649010435037,0.1663263337448451,0.5207449542206288
15,8,Standard_MLP,,0.12509045005581204,0.1581006134786138,0.5669761919629293
15,8,PGNN,0.05,0.07367451580790585,0.09129777462270156,0.8556007132155483
15,9,PLS,,0.13981963342169418,0.1798141779099728,0.4398652348810371
15,9,Standard_MLP,,0.11237268687833883,0.14220408259172765,0.6496768845227124
15,9,PGNN,2.0,0.07893566518304648,0.09432817800219649,0.8458556692739667
15,10,PLS,,0.1677771248103861,0.2079342412204547,0.2509743528183488
15,10,Standard_MLP,,0.14907049626638028,0.18510201805768658,0.40643679398998955
15,10,PGNN,0.35,0.08070518008977717,0.09638685123512933,0.8390539766576665
15,11,PLS,,0.14262966643221398,0.17639867581798072,0.46094223543741497
15,11,Standard_MLP,,0.12156673421316587,0.1532276915908663,0.5932578476697521
15,11,PGNN,0.1,0.07918399641298178,0.09548271812397512,0.8420592441918509
25,0,PLS,,0.13564079448849564,0.1694150366440269,0.5027800188509683
25,0,Standard_MLP,,0.11074262126507278,0.14349910501174976,0.6432671943456121
25,0,PGNN,2.0,0.08593144691404968,0.10189736292587652,0.8201251047132454
25,1,PLS,,0.09480550887846356,0.1202189661306137,0.7496251845532254
25,1,Standard_MLP,,0.10299782173751999,0.13611033995477098,0.6790577432834375
25,1,PGNN,1.5,0.08021155720298417,0.09651150771846381,0.8386374065825981
25,2,PLS,,0.18192692824199092,0.24125508507036703,-0.008318224151367515
25,2,Standard_MLP,,0.1360443397314051,0.18591924696248727,0.4011840384992039
25,2,PGNN,0.5,0.08126740436612033,0.0970453594073802,0.8368473206908941
25,3,PLS,,0.1185617244330056,0.1524357227126484,0.5974515368599811
25,3,Standard_MLP,,0.09346690759013669,0.12168164269830299,0.743495615668557
25,3,PGNN,0.75,0.08198194196984042,0.09961142984282843,0.828105091620735
25,4,PLS,,0.10577027931115987,0.133119137795988,0.693008990644377
25,4,Standard_MLP,,0.10278199492140701,0.13865873390472755,0.6669272327322184
25,4,PGNN,2.0,0.08184342560409728,0.09690398899767406,0.8373223183902772
25,5,PLS,,0.09123953817134266,0.11924836759851071,0.753651711163088
25,5,Standard_MLP,,0.11729914324972864,0.15150428276659936,0.6023559538799239
25,5,PGNN,0.02,0.07275955508410505,0.0941090992532809,0.8465708433066893
25,6,PLS,,0.09356491215672932,0.1259566307791212,0.725155699747734
25,6,Standard_MLP,,0.09745837522579916,0.12773512724095798,0.717339349203399
25,6,PGNN,0.02,0.0796975686722669,0.10011663539123498,0.826357049588395
25,7,PLS,,0.11515349636943469,0.1599404874370748,0.5568390393392804
25,7,Standard_MLP,,0.08823759807115622,0.11489087030660446,0.7713265715078523
25,7,PGNN,2.0,0.079816310260313,0.09538928986688247,0.8423681777981568
25,8,PLS,,0.12786893899374333,0.16905947730635917,0.5048649068354516
25,8,Standard_MLP,,0.13387778397662597,0.19233497233643113,0.35914292488370914
25,8,PGNN,0.2,0.07672205049619261,0.0944894612009102,0.8453281038117368
25,9,PLS,,0.09092097385629408,0.1246151757184218,0.7309787829686767
25,9,Standard_MLP,,0.11454408884115068,0.147322569394387,0.6240039921109025
25,9,PGNN,0.02,0.07814115162758048,0.1008209595767494,0.8239052867041934
