,,MAE,MAE,RMSE,RMSE,R2,R2
,,mean,std,mean,std,mean,std
N_train,model,,,,,,
8,PGNN,0.09399481718272351,0.04612675588581759,0.11666113759449809,0.06791251093561315,0.6909841276588758,0.5046348819264671
8,PLS,0.2021841796715924,0.08273522786571455,0.2615248835930486,0.0973949247990444,-0.3355059834393792,1.1565582116942803
8,Standard_MLP,0.16941942582251035,0.04388207035602914,0.21603559529521554,0.05705364690372416,0.13977962395524077,0.4642562745607051
15,PGNN,0.07814636215974362,0.0036348437244800736,0.09473443507895418,0.003471464268679455,0.8443336843633859,0.01141208162002742
15,PLS,0.14388418034020048,0.019690884311732337,0.18957043816494643,0.025842430436048128,0.3668279958202927,0.17887930604690933
15,Standard_MLP,0.1410367770817272,0.029854515252112763,0.18511323426862655,0.0428407655773139,0.37721942228535155,0.32704801723913324
25,PGNN,0.08003977765384604,0.0032540995994165198,0.0977555516338733,0.0026283867542034587,0.8343409251907224,0.0089517067571681
25,PLS,0.12053071390921984,0.02842853643884896,0.15906526469066265,0.0384091919689902,0.5382483527873678,0.23297348016331268
25,Standard_MLP,0.1129002805583771,0.01650699858703357,0.15161617202439867,0.026780367866701363,0.5903793048922779,0.14506890423195742
40,PGNN,0.07566959428309564,0.0038454477370918724,0.09376822920198263,0.003393825308294368,0.8474973846184842,0.010994194171408081
40,PLS,0.09930299881409592,0.010396430716823094,0.13074650683701042,0.013998189209389422,0.7007429783928458,0.06377781525949884
40,Standard_MLP,0.09239925701664452,0.009465212548941246,0.12320032015932429,0.012418990668413116,0.7346037037514314,0.05549785737725267
65,PGNN,0.07451638584430648,0.00421746699474821,0.09390855641359562,0.0036757667608572995,0.8470094880699238,0.012004531997294999
65,PLS,0.09464544994423636,0.007017969308114959,0.12572844818603565,0.010330842564420569,0.7244557759026522,0.04669065709910289
65,Standard_MLP,0.08964118918517112,0.009971275026015532,0.11889521331626918,0.015196865703809584,0.7514412227462017,0.06571308518190261
100,PGNN,0.07205124145333329,0.0036922420779469545,0.09163671528263652,0.004607072726869909,0.8541895063808412,0.014499966630037307
100,PLS,0.0882005727285806,0.005510929619303868,0.11558718044094908,0.006569834505243913,0.7678609326101578,0.025536985974868687
100,Standard_MLP,0.07793500148991152,0.006822475433542052,0.10244160314838556,0.008111474953563772,0.8171536727065636,0.02895162391027252
160,PGNN,0.06585317247504187,0.0035228160382644747,0.08533882899188884,0.004001222910168091,0.8735810136961465,0.01196965589547799
160,PLS,0.08694839553499477,0.0035673160688384315,0.11495576089430137,0.00669904841477892,0.77035552812214,0.02747897468596098
160,Standard_MLP,0.07748319389875183,0.0049757185319257635,0.10186086082550483,0.007604986181134349,0.8193355080214126,0.02721989976577382
250,PGNN,0.06128089587500509,0.0032608546994582666,0.08042460670430558,0.0050209962554371235,0.8875468940906148,0.014312481847184266
250,PLS,0.08606211072586163,0.0023127429956041434,0.11390748242264485,0.003433286599057013,0.7750372098285855,0.01343657145518006
250,Standard_MLP,0.0717817194210081,0.005059898464869297,0.09419511061317215,0.006053248740930112,0.8457083811565941,0.02012971264848544
